,Execution Time,No Change
0,864.7581548099988,2461.0
1,865.2709508240005,2499.0
2,866.5709134609933,2499.0
3,867.3455259920011,2499.0
4,865.3451267280034,2499.0
5,863.9293077949987,2492.0
6,864.3682543600007,2499.0
7,865.1162052170039,2499.0
8,863.2897173300007,2499.0
9,865.2612544939984,2499.0
10,864.8787381639995,2499.0
11,865.0727317549972,2499.0
12,861.1922858920007,2499.0
13,863.2235525410069,2498.0
14,863.0725749830017,2497.0
15,863.486025006001,2499.0
16,865.0294025490002,2499.0
17,865.3958595820004,2499.0
18,868.5516717230057,2499.0
19,863.8294448930101,2499.0
20,864.2184995410062,2499.0
21,861.5508153299888,2499.0
22,863.6465422500041,2499.0
23,860.8869179640024,2499.0
24,861.438841545998,2499.0
25,868.0550854220055,2499.0
26,867.822625240995,2499.0
27,869.4775307829987,2499.0
28,867.1777574160078,2499.0
29,868.3301928970031,2499.0
30,870.2876090130012,2499.0
31,868.408266051003,2499.0
32,870.6512419690116,2499.0
33,870.9557724079932,2499.0
34,870.9014379509899,2499.0
35,869.9606882719963,2499.0
36,870.3429246969899,2499.0
37,870.3896565079922,2499.0
38,870.9658780820027,2499.0
39,871.254557348002,2499.0
40,871.1207781630073,2499.0
41,870.9789157199993,2499.0
42,870.6550279670046,2499.0
43,870.9681176570011,2499.0
44,870.8937028880027,2499.0
45,869.48927339699,2499.0
46,870.4500656680029,2499.0
47,869.8925759389967,2499.0
48,870.6139902790019,2499.0
49,870.3406338749919,2499.0
50,878.7324452489993,2499.0
51,878.3875570859964,2499.0
52,878.53045703299,2499.0
53,879.3738047260122,2499.0
54,877.9342446679948,2499.0
55,878.2906074960047,2499.0
56,879.398596479994,2499.0
57,877.857286724,2499.0
58,874.5568501590024,2499.0
59,875.1814492109988,2499.0
60,876.6135297540022,2499.0
61,876.5542833770014,2499.0
62,874.096259908998,2499.0
63,875.2633682680025,2499.0
64,874.1806614279922,2499.0
65,875.5218047650123,2499.0
66,874.8188031330064,2499.0
67,875.2927527629945,2499.0
68,877.0218770729989,2499.0
69,875.1016075160005,2499.0
70,875.2968219470058,2499.0
71,875.071378099994,2499.0
72,876.1520382330054,2499.0
73,875.7719013379974,2499.0
74,876.0873579870095,2499.0
75,889.2582381569955,2499.0
76,886.9931349889957,2499.0
77,889.4974068089941,2499.0
78,886.922162517003,2499.0
79,890.6153171629994,2499.0
80,887.9928721820033,2499.0
81,888.4225607230037,2499.0
82,890.7161080900114,2499.0
83,889.1751687799988,2499.0
84,890.4146999130026,2499.0
85,889.4575933570013,2499.0
86,891.098372470995,2499.0
87,889.6527877630142,2499.0
88,889.7971726710093,2499.0
89,889.8153546609974,2499.0
90,889.1739277949964,2499.0
91,890.7544892499864,2499.0
92,891.0231712329842,2499.0
93,890.3228960279957,2499.0
94,892.5518630449951,2499.0
95,890.8095348259958,2499.0
96,892.2936461659847,2499.0
97,892.9495207699947,2499.0
98,891.869456365006,2499.0
99,892.7217791729781,2499.0
100,902.1731197909976,2499.0
101,900.7127447649837,2499.0
102,902.0019893659919,2499.0
103,896.2450145879993,2499.0
104,897.6054073630075,2499.0
105,896.6602773850027,2499.0
106,896.1655418449955,2499.0
107,897.0005672350235,2499.0
108,895.9004881090077,2499.0
109,896.2760616140149,2499.0
110,895.2530943689926,2499.0
111,896.9910934510117,2499.0
112,897.3331077290059,2499.0
113,897.0133704829786,2499.0
114,897.8207106869959,2499.0
115,898.780761261005,2499.0
116,897.6058156049985,2499.0
117,897.4723268189991,2499.0
118,898.1919603660062,2499.0
119,899.3746199659945,2499.0
120,896.6594029709813,2499.0
121,896.495303194999,2499.0
122,898.7363199189713,2499.0
123,896.6322977410164,2499.0
124,898.7416175120161,2499.0
